,location,total_sqft,bath,price,bhk,price_per_sqft
279,Jigani,1252.0,3.0,55.0,3,4392.97124600639
281,7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
283,Electronics City Phase 1,1490.0,3.0,78.8,3,5288.5906040268455
284,Bisuvanahalli,1075.0,2.0,46.0,3,4279.069767441861
285,Old Madras Road,1425.0,2.0,94.0,3,6596.491228070176
287,Kaggadasapura,1280.0,2.0,56.0,3,4375.0
288,other,1084.0,2.0,50.0,2,4612.546125461255
289,Chandapura,1015.0,2.0,25.88,2,2549.753694581281
290,Kanakpura Road,1017.0,2.0,51.25,2,5039.331366764995
291,Haralur Road,1027.0,2.0,44.0,2,4284.323271665044
292,Electronic City Phase II,1069.0,2.0,45.0,2,4209.541627689429
293,Hebbal,1349.0,2.0,98.2,2,7279.466271312083
294,9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
295,Jakkur,1417.0,2.0,75.0,2,5292.87226534933
296,TC Palaya,1475.0,3.0,98.0,3,6644.067796610169
297,other,950.0,2.0,47.0,2,4947.368421052632
298,other,2000.0,4.0,120.0,4,6000.0
300,Sarjapur  Road,1863.0,3.0,104.0,4,5582.393988191089
302,Kalena Agrahara,1425.0,2.0,70.0,3,4912.2807017543855
303,Vijayanagar,1450.0,3.0,100.0,3,6896.551724137931
304,Kothanur,1847.0,3.0,105.0,3,5684.89442338928
305,AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
306,Kanakpura Road,525.0,1.0,26.0,1,4952.380952380952
307,Mallasandra,1665.0,3.0,95.0,3,5705.705705705705
308,Begur,1664.0,4.0,65.0,4,3906.25
309,JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
310,Panathur,1438.0,2.0,100.0,2,6954.102920723227
311,other,1560.0,3.0,115.0,3,7371.794871794872
312,Yelahanka,1350.0,2.0,55.55,2,4114.814814814815
313,Kanakpura Road,1550.0,3.0,67.0,3,4322.580645161291
314,Malleshpalya,1140.0,2.0,46.5,2,4078.9473684210525
317,Whitefield,1280.0,2.0,75.0,2,5859.375
318,Munnekollal,1170.0,2.0,52.0,2,4444.444444444444
319,other,1113.0,2.0,51.0,2,4582.210242587601
320,Hennur Road,1385.0,2.0,83.09,2,5999.27797833935
321,Electronic City,1128.0,2.0,65.0,2,5762.41134751773
323,other,1200.0,4.0,165.0,4,13750.0
324,Rajaji Nagar,2390.0,3.0,415.0,3,17364.016736401674
325,Giri Nagar,2400.0,4.0,400.0,4,16666.666666666668
326,Haralur Road,1464.0,3.0,56.0,3,3825.136612021858
327,other,1200.0,2.0,55.0,2,4583.333333333333
328,Kaval Byrasandra,1200.0,2.0,52.0,2,4333.333333333333
329,Kaggalipura,1150.0,2.0,55.0,3,4782.608695652174
330,other,1645.0,3.0,95.0,3,5775.075987841945
331,Sarjapur  Road,1000.0,2.0,67.0,2,6700.0
332,Haralur Road,2650.0,4.0,198.0,4,7471.698113207547
333,6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
334,Ulsoor,2135.0,3.0,215.0,3,10070.257611241217
335,Whitefield,1173.0,2.0,58.0,2,4944.58653026428
336,Uttarahalli,1020.0,2.0,45.0,2,4411.764705882353
337,Thigalarapalya,3122.0,6.0,230.0,4,7367.072389493914
339,other,1200.0,2.0,79.0,2,6583.333333333333
340,other,1230.0,2.0,48.0,2,3902.439024390244
341,Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
342,Kalena Agrahara,1325.0,2.0,76.0,2,5735.8490566037735
343,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
346,other,1350.0,2.0,140.0,3,10370.37037037037
347,Bommasandra,1260.0,3.0,49.36,3,3917.4603174603176
348,other,1800.0,3.0,150.0,3,8333.333333333334
351,Harlur,1508.0,2.0,77.0,2,5106.100795755968
352,other,1592.0,3.0,75.0,3,4711.05527638191
353,Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
354,Electronic City Phase II,630.0,1.0,28.35,1,4500.0
356,other,1762.0,3.0,125.0,3,7094.211123723042
357,other,950.0,2.0,50.0,2,5263.1578947368425
358,Kodihalli,3252.0,5.0,335.0,4,10301.353013530135
360,Narayanapura,1308.0,2.0,89.04,2,6807.339449541284
361,other,1200.0,3.0,90.0,3,7500.0
363,Bannerghatta Road,500.0,1.0,18.5,1,3700.0
364,Hennur,1075.0,2.0,52.0,2,4837.209302325581
365,Chandapura,530.0,1.0,11.66,1,2200.0
366,Bellandur,1205.0,2.0,66.0,2,5477.178423236514
367,5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
368,KR Puram,930.0,2.0,39.0,2,4193.548387096775
370,Hebbal,2483.0,5.0,212.0,4,8538.058799838904
371,Kodigehaali,1166.0,2.0,55.0,2,4716.981132075472
372,Bannerghatta Road,1050.0,2.0,65.0,2,6190.476190476191
373,other,2023.71,3.0,275.0,3,13588.903548433324
374,Begur Road,1200.0,2.0,46.8,2,3900.0
375,Lakshminarayana Pura,1600.0,2.0,108.0,3,6750.0
376,Billekahalli,1935.0,3.0,110.0,3,5684.754521963824
377,8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
378,Electronic City,1800.0,3.0,95.0,3,5277.777777777777
379,Jalahalli,1400.0,3.0,77.0,3,5500.0
380,Hegde Nagar,1801.0,3.0,115.0,3,6385.341476957246
382,Anekal,1200.0,1.0,36.0,2,3000.0
383,Begur Road,1160.0,2.0,44.0,2,3793.103448275862
385,Kanakpura Road,950.0,2.0,40.0,2,4210.526315789473
386,other,1629.0,3.0,79.0,3,4849.600982197668
387,Vijayanagar,1580.0,2.0,134.0,3,8481.012658227848
388,Vijayanagar,1826.0,3.0,121.0,3,6626.506024096386
389,7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
390,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,3999.126637554585
392,Yeshwanthpur,1693.0,3.0,108.0,3,6379.208505611341
393,Electronics City Phase 1,1113.27,2.0,53.0,2,4760.74986301616
394,other,1460.0,2.0,58.0,2,3972.6027397260273
395,Doddathoguru,1050.0,2.0,32.0,2,3047.6190476190477
396,Dodda Nekkundi,1260.0,2.0,55.0,2,4365.079365079365
398,Hosur Road,1656.0,2.0,120.0,2,7246.376811594203
399,Chandapura,1208.0,3.0,45.0,3,3725.1655629139073
400,Whitefield,1910.0,3.0,161.0,3,8429.319371727748
401,Whitefield,3252.0,4.0,230.0,4,7072.570725707257
402,Battarahalli,1200.0,2.0,65.0,2,5416.666666666667
404,7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
407,Rajaji Nagar,2390.0,3.0,410.0,3,17154.81171548117
412,Kengeri,750.0,2.0,38.0,2,5066.666666666667
414,Kanakpura Road,1550.0,3.0,64.5,3,4161.290322580645
415,other,1760.0,3.0,88.0,3,5000.0
416,Billekahalli,1125.0,2.0,62.0,2,5511.111111111111
417,Nagarbhavi,1350.0,3.0,150.0,3,11111.111111111111
418,Anandapura,1000.0,2.0,55.0,2,5500.0
419,Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
420,TC Palaya,1200.0,2.0,60.0,2,5000.0
421,Budigere,1991.0,4.0,103.0,3,5173.279758915118
423,Ambalipura,1105.0,2.0,75.0,2,6787.330316742082
424,Hoodi,985.0,2.0,67.0,2,6802.030456852792
427,CV Raman Nagar,1120.0,2.0,55.0,2,4910.714285714285
428,other,1069.0,2.0,55.0,2,5144.9953227315245
429,Marathahalli,1933.0,3.0,140.0,3,7242.628039317124
430,Hosur Road,1194.0,2.0,69.0,2,5778.894472361809
431,Brookefield,1150.0,2.0,69.0,2,6000.0
432,Yelenahalli,1240.0,2.0,47.12,2,3800.0
433,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,3389.7110641296686
435,other,2150.0,4.0,240.0,3,11162.790697674418
437,other,1630.0,3.0,68.29,3,4189.57055214724
440,Whitefield,11890.0,4.0,700.0,4,5887.300252312868
441,Bellandur,1250.0,2.0,76.0,2,6080.0
442,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
444,Ardendale,1750.0,3.0,100.0,3,5714.285714285715
445,Vittasandra,1404.0,2.0,71.0,2,5056.980056980057
446,Hoodi,1715.0,2.0,95.0,3,5539.35860058309
447,Electronic City,630.0,1.0,34.65,1,5500.0
448,Harlur,1752.12,3.0,135.0,3,7704.951715635916
449,Hulimavu,1650.0,3.0,78.0,3,4727.272727272727
450,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,4283.397683397683
451,Giri Nagar,1800.0,3.0,252.0,3,14000.0
452,Sarjapur  Road,1346.0,2.0,74.03,2,5500.0
454,Hormavu,1150.0,2.0,55.0,2,4782.608695652174
455,other,3309.0,4.0,325.0,4,9821.698398307646
456,Chandapura,1190.0,2.0,30.35,3,2550.4201680672268
459,other,5000.0,9.0,360.0,11,7200.0
460,Harlur,2450.0,3.0,120.0,3,4897.959183673469
463,Padmanabhanagar,1020.0,2.0,63.0,2,6176.470588235294
464,Chikkalasandra,1100.0,2.0,50.0,2,4545.454545454545
465,other,1150.0,2.0,126.0,2,10956.521739130434
466,Hebbal,1760.0,2.0,130.0,3,7386.363636363636
467,Ambalipura,1800.0,3.0,110.0,3,6111.111111111111
468,Akshaya Nagar,1070.0,2.0,54.0,2,5046.728971962617
469,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,14666.666666666666
470,Vidyaranyapura,1440.0,2.0,95.0,2,6597.222222222223
471,Amruthahalli,900.0,2.0,40.0,2,4444.444444444444
474,Koramangala,1320.0,2.0,165.0,2,12500.0
475,Kodigehalli,1270.0,2.0,98.0,2,7716.535433070866
476,other,1200.0,2.0,62.0,2,5166.666666666667
477,other,4800.0,4.0,235.0,4,4895.833333333333
478,other,1200.0,2.0,74.0,2,6166.666666666667
479,Subramanyapura,929.0,2.0,50.17,2,5400.4305705059205
486,other,2000.0,4.0,99.0,4,4950.0
487,Chikkalasandra,1208.0,2.0,49.0,2,4056.291390728477
489,other,1753.0,3.0,120.0,3,6845.407872219053
493,5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.217391304348
494,Electronic City,1128.0,2.0,63.0,2,5585.106382978724
495,other,1000.0,2.0,53.0,2,5300.0
496,Yelahanka,1035.0,2.0,45.0,2,4347.826086956522
497,Kereguddadahalli,950.0,2.0,32.0,2,3368.4210526315787
498,Bisuvanahalli,1075.0,2.0,36.0,3,3348.8372093023254
499,Whitefield,1040.0,2.0,48.5,2,4663.461538461538
500,other,720.0,2.0,45.0,2,6250.0
501,Lingadheeranahalli,1511.0,3.0,95.0,3,6287.22700198544
505,Vidyaranyapura,1062.0,2.0,38.0,2,3578.154425612053
508,Kambipura,883.0,2.0,45.0,2,5096.262740656852
509,Sarjapur  Road,1195.0,2.0,70.0,2,5857.740585774059
510,other,1200.0,3.0,165.0,4,13750.0
511,other,700.0,1.0,41.0,1,5857.142857142857
512,Vittasandra,1246.0,2.0,67.0,2,5377.2070626003215
515,other,1600.0,4.0,80.0,4,5000.0
516,Haralur Road,2805.0,5.0,154.0,4,5490.196078431372
517,Begur Road,1584.0,3.0,65.0,3,4103.535353535353
518,Sector 7 HSR Layout,3000.0,5.0,275.0,4,9166.666666666666
520,other,1595.0,3.0,115.0,3,7210.031347962383
521,other,1353.0,2.0,110.0,2,8130.081300813008
523,Whitefield,1150.0,2.0,70.0,2,6086.95652173913
525,KR Puram,1155.0,2.0,42.74,2,3700.4329004329006
526,other,1200.0,2.0,85.0,1,7083.333333333333
530,Ramagondanahalli,1251.0,2.0,47.0,2,3756.994404476419
531,other,1028.0,2.0,45.5,2,4426.070038910506
533,Bannerghatta Road,1170.0,2.0,66.0,3,5641.025641025641
536,HSR Layout,1372.0,2.0,68.0,2,4956.268221574344
538,Mico Layout,5000.0,9.0,210.0,9,4200.0
541,Whitefield,1768.0,3.0,101.0,3,5712.669683257918
542,other,1325.0,2.0,90.0,3,6792.452830188679
543,Electronic City,1599.0,3.0,99.0,3,6191.369606003753
544,Whitefield,1500.0,3.0,61.95,3,4130.0
546,Uttarahalli,1286.0,2.0,63.0,2,4898.9113530326595
547,Kammanahalli,2845.0,5.0,140.0,5,4920.91388400703
549,Hennur Road,1317.5,2.0,63.77,2,4840.2277039848195
550,Hebbal,3450.0,5.0,260.0,3,7536.231884057971
551,Munnekollal,1102.0,2.0,53.67,2,4870.235934664247
552,Yelahanka,1350.0,2.0,54.0,2,4000.0
555,other,1800.0,1.0,80.0,2,4444.444444444444
556,Chikkabanavar,950.0,2.0,40.0,2,4210.526315789473
557,Kanakpura Road,525.0,1.0,27.25,1,5190.476190476191
558,Attibele,656.0,2.0,25.0,2,3810.9756097560976
560,other,1056.0,2.0,80.0,2,7575.757575757576
561,Bannerghatta Road,595.0,1.0,33.32,1,5600.0
562,other,1080.0,2.0,50.0,2,4629.62962962963
563,7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.011235955056
565,Electronics City Phase 1,1490.0,3.0,84.0,3,5637.583892617449
567,Sarjapur  Road,1550.0,3.0,100.0,3,6451.612903225807
569,other,1160.0,2.0,55.0,2,4741.379310344828
570,Whitefield,4144.0,4.0,315.0,4,7601.351351351352
571,Sarjapur  Road,2100.0,3.0,125.0,3,5952.380952380952
572,Vittasandra,1404.0,2.0,69.3,2,4935.897435897436
574,other,1544.0,3.0,120.0,3,7772.020725388601
576,Marathahalli,1230.0,2.0,80.0,2,6504.065040650406
577,other,1200.0,2.0,65.0,2,5416.666666666667
580,Gottigere,967.0,2.0,45.0,2,4653.567735263702
581,other,540.0,1.0,36.0,1,6666.666666666667
584,other,1578.0,3.0,180.0,3,11406.84410646388
585,Mysore Road,1020.0,2.0,48.95,2,4799.019607843137
587,Koramangala,1253.0,2.0,102.0,2,8140.462889066241
588,other,1180.0,2.0,42.0,2,3559.322033898305
590,Kanakapura,1419.0,3.0,75.0,3,5285.412262156448
591,Harlur,1709.0,3.0,150.0,3,8777.062609713283
592,other,1600.0,2.0,115.0,2,7187.5
593,other,416.0,1.0,18.5,1,4447.115384615385
594,Sanjay nagar,1100.0,2.0,98.0,2,8909.09090909091
595,HSR Layout,1430.0,2.0,65.0,3,4545.454545454545
596,other,1260.0,2.0,45.0,2,3571.4285714285716
597,other,1630.0,3.0,85.0,3,5214.7239263803685
599,Kalena Agrahara,1450.0,2.0,85.0,3,5862.068965517241
600,Konanakunte,2791.0,3.0,223.0,3,7989.967753493372
602,other,834.0,1.0,60.0,1,7194.244604316546
603,other,1125.0,4.0,70.0,3,6222.222222222223
604,Arekere,2060.0,3.0,140.0,3,6796.116504854369
605,Malleshwaram,12000.0,7.0,2200.0,7,18333.333333333332
607,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,4330.979699911739
608,Bisuvanahalli,1075.0,2.0,37.0,3,3441.860465116279
609,other,3000.0,5.0,260.0,4,8666.666666666666
611,Vidyaranyapura,1200.0,2.0,55.0,2,4583.333333333333
612,Thanisandra,1075.0,2.0,45.8,2,4260.46511627907
615,other,2160.0,5.0,250.0,6,11574.074074074075
616,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,3853.211009174312
617,R.T. Nagar,1500.0,4.0,70.0,4,4666.666666666667
618,Whitefield,4104.0,4.0,360.0,4,8771.929824561403
