,location,count
64,"Banashankari 6th stage , 2nd block",1
65,Banashankari Stage I,1
66,Banashankari stage 2,1
67,Banashankari3rd stage bigbazar,1
68,"Banaswadi,",1
69,Bande Nallasandra,1
70,Bandepalya,1
71,Bank Avenue,1
72,Bapuji Layout,1
73,Bapuji Nagar,1
74,Basaveswarnagar,1
75,"Basnashankari,6th stage,",1
76,Basvasamithi Layout Vidyaranyapura,1
77,Behind Don Bosco Church,1
78,"Bellandur,",1
79,"Beml layout, Rajarajeshwari nagar",1
80,Bennigana Halli,1
81,Bettadasanapura,1
82,Bharat Nagar,1
83,Bharath Housing Society Layout,1
84,Bharathnagar,1
85,Bhattarahalli,1
86,"Bidere Agarahara, Behind Safal market",1
87,Bilal Nagar,1
88,Billamaranahalli,1
89,Billapura,1
90,Binnamangala,1
91,Binny Mills Employees Colony,1
92,Brigade Road,1
93,Bull Temple Road,1
94,Byappanahalli,1
95,Byrasandra Extension,1
96,CHIKKATIRUPATHI,1
97,CMH Road,1
98,CQAL LAYOUT C BLOCK,1
99,CR Layout,1
100,Cambridge  road,1
101,Chaitanya Ananya,1
102,Chambenahalli,1
103,Chellikere,1
104,Chikbasavanapura,1
105,Chikka Gowdanapalya.,1
106,Chikkaballapur,1
107,Chikkabettahalli,1
108,Chikkabidarakallu,1
109,Chikkagubbi,1
110,Chikkajala,1
111,Chikkanahalli,1
112,Chokkahalli,1
113,Chokkasandra,1
114,Chowdeshwari Layout,1
115,Chuchangatta Colony,1
116,Ckikkakammana Halli,1
117,Craig Park Layout,1
118,Cubbon Road,1
119,D Souza Layout,1
120,DUO Layout,1
121,Deepanjali Nagar,1
122,Defence Layout,1
123,Devarabisanahalli,1
124,Dhanalakshmi Layout,1
125,Doctor Layout Rayasandra,1
126,Doddabele,1
127,Doddanakunte,1
128,Dominic Layout,1
129,Double Road,1
130,Duddanahalli,1
131,Duvasapalya,1
132,Dwaraka Nagar,1
133,"EPIP AREA, WHITEFIELD",1
134,"Electronic City Phase 1,",1
135,"Electronic city phase 1,",1
136,Escorts Colony,1
137,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,1
138,Fraser town,1
139,GB Palya,1
140,GKW Layout,1
141,Gandhi Nagar,1
142,Ganga Nagar Extension,1
143,Ganganahalli,1
144,Gangondanahalli,1
145,Garden Layout,1
146,Gaundanapalya,1
147,Gayathri Nagar,1
148,Geetanjali Layout,1
149,Gokaula Extension,1
150,Gollarahatti,1
151,Gopal Reddy Layout,1
152,Goraguntepalya,1
153,Govindraja Nagar,1
154,Grihalakshmi Layout,1
155,"Gubbi Cross, Hennur Main Road",1
156,Gulakamale,1
157,HAL Layout,1
158,HOSUR RMAIN ROAD,1
159,"HSR Layout 7th sector,",1
160,Hal old airport road,1
161,Halanayakanahalli,1
162,Handenahalli,1
163,Hanumagiri,1
164,Hanuman Nagar,1
165,"Haralur Road,",1
166,Harohalli,1
167,Havanur extension,1
168,Hennur Busstop,1
169,High grounds,1
170,Hommadevanahalli,1
171,Hosahalli,1
172,Hoskote near,1
173,Housing Board Layout Vijay Nagar,1
174,Howthinarayanappa Garden,1
175,Hsr layout sector3,1
176,Hullahalli,1
177,Huttanahalli,1
178,ITI Employees Layout,1
179,Iggalur,1
180,Indira Nagar 3rd Stage,1
181,Indira Nagar Stage 2,1
182,Indiranagar HAL 2nd Stage,1
183,Indranagar  100ft road defence colony,1
184,J P Nagar 7th Phase Ramayya City,1
185,J.P.nagar 6th Phase.Sarakki Nagar,1
186,"JP nagar 9th Phase,",1
187,Jagadish Nagar,1
188,Jagajyothi layout,1
189,Jakkasandra,1
190,JakkurYelahanka,1
191,Jaladarsini Layout,1
192,Jaraganahalli Jp Nagar Post,1
193,Javarandoddi,1
194,Jay an agar 4 T Block,1
195,Jaya Nagar East,1
196,"Jayanagar,",1
197,Jaymahal Road,1
198,Jeevanhalli,1
199,Jogupalya,1
200,Junnasandra,1
201,K G Colony,1
202,K N Extension,1
203,K R C kothanur,1
204,KAMAKIYA,1
205,KG Halli,1
206,KHB Colony Extension,1
207,KPC Layout,1
208,Kalasipalya,1
209,Kalhalli,1
210,Kalkere Channasandra,1
211,Kamdhenu Nagar,1
212,Kanakadasa Layout,1
213,Kanakapur main road,1
214,Kanakapura  Rod,1
215,Kanakapura Main Road,1
216,Kanakapura Road,1
217,"Kanakapura Road,",1
218,Kanakapura main  Road,1
219,Kannur,1
220,Karnataka Shabarimala,1
221,Kasthuri Nagar East Of NGEF,1
222,Kathriguppe IV Phase,1
223,Keerthi Layout,1
224,Kenchanehalli R R Nagar,1
225,Kengeri Satellite Town ( BDA SITE),1
226,Kengeri Satellite Town KHB Apartment,1
227,Kengeri Satellite Town Stage II,1
228,"Kirloskar layout, Basaveshwarnagar",1
229,Kodanda Reddy Layout,1
230,Konappana Agrahara,1
231,Koramangala Industrial Layout,1
232,"Kudlu Village,",1
233,Kumbhena Agrahara,1
234,Kuvempu Layout,1
235,LIC Colony,1
236,Lakkasandra Extension,1
237,"Lakshminarayanapura, Electronic City Phase 2",1
238,Lakshmipura Vidyaanyapura,1
239,Lalbagh Road,1
240,Laxminarayana Layout,1
241,M C Layout,1
242,M.G Road,1
243,"MEI layout, Bagalgunte",1
244,MM Layout,1
245,MRCR Layout,1
246,Madanayakahalli,1
247,Maheswari Nagar,1
248,Mailasandra,1
249,Malimakanapura,1
250,Mallappa Layout,1
251,Malur Hosur Road,1
252,Manganahalli,1
253,Mango Garden Layout,1
254,Manonarayanapalya,1
255,"Maragondana Halli, kr puram, old madras road",1
256,Marathalli bridge,1
257,Maruthi Extension,1
258,Maruthi HBCS Layout,1
259,Maruthi Layout,1
260,Maruthi nagar kogilu,1
261,Masjid e Alkareem,1
262,Mathikere SBM colony,1
263,Medaralli,1
264,Medi Agrahara,1
265,Meenakshi Layout,1
266,Michael Palaya,1
267,Milk Colony,1
268,Millers Road,1
269,Mudalpalaya,1
270,Mukkutam Nagar,1
271,Mullur,1
272,Muthyala Nagar,1
273,N R Layout,1
274,NR Colony,1
275,NTI Layout,1
276,Nagarbhavi  BDA Complex,1
277,Nagarbhavi Garden Villas Layout,1
278,Nanjappa Layout Vidyaranyapura,1
279,Narayanappa Garden,1
280,Narayanappa Layout,1
281,Navodaya Nagar,1
282,Ncpr Industrial Layout,1
283,"Near Electronic City,",1
284,Near ullas theater,1
285,Neelasandra,1
286,Nirman Layout,1
287,Nrupathunga Nagar,1
288,Off Bannergatta Road,1
289,Off Bannergatta road,1
290,"Off Sarjapur road,",1
291,Okalipura,1
292,Old Mangammanapalya Road,1
293,Old Town,1
294,P Krishnappa Layout,1
295,P&T Colony,1
296,PC Palaya,1
297,PNS Layout,1
298,"Pai layout , Mahadevapura",1
299,"Panathur Road,",1
300,Papareddipalya,1
301,Park View Layout,1
302,Pattegarhpalya,1
303,Pillahalli,1
304,Pillanna Gardens,1
305,Popular Colony,1
306,Prakash Nagar,1
307,Prakruthi Nagar,1
308,Prakruthi Township,1
309,Prasanna layout Herohalli,1
310,Prasanth Extension,1
311,Prasanti Nagar,1
312,Prestige Sunrise,1
313,Pulikeshi Nagar,1
314,Punappa Layout,1
315,Puttappa Layout,1
316,Queens Road,1
317,RBI Layout,1
318,RK Colony,1
319,RK Layout 2nd Stage,1
320,RMC YARD,1
321,"RMV extension stage 2, rmv extension",1
322,RR Nagar,1
323,RTO ullalu,1
324,Rahat Bagh,1
325,Rahmath Nagar,1
326,Rainbow Drive,1
327,Raja Rajashweri Nagar,1
328,Raja Rajeshwari Nagara,1
329,Rajagopala Nagar,1
330,Rajanna Layout,1
331,Rajapura,1
332,Rajarajesheari nagar,1
333,Ramamohanapuram,1
334,Ramanagara Channapatna,1
335,Ramaswamy Palya - Kammanahalli Main Road,1
336,Rammana Layout,1
337,Reliable Woods Layout,1
338,Richmond Road,1
339,Ring Road Nagarbhavi,1
340,Rukmaiah Layout,1
341,S R Layout,1
342,SARJAPUR BAGALUR ROAD,1
343,SHANTHINAGAR,1
344,SK Garden,1
345,Sabari Nagar,1
346,Sadahalli,1
347,Sadduguntepalya,1
348,Sadhguru Layout,1
349,Sahyadri Layout,1
350,Sampangirama Nagar,1
351,Sampige Layout,1
352,Saptagiri Layout,1
353,Sarvobhogam Nagar,1
354,Sathanur,1
355,Satyasaibaba Layout,1
356,Sector 3 HSR Layout,1
357,Sector 4 HSR Layout,1
358,Seethappa Layout,1
359,Shakthi Nagar,1
360,Shanthi Pura,1
361,Shauhardha Layout,1
362,Shettihalli,1
363,Shirdi Sai Nagar,1
364,Shivanagar,1
365,Sindhi Colony,1
366,Sir M V Nagar,1
367,Somanna Garden,1
368,Sonam Layout,1
369,Soppahalli,1
370,Sree Narayana Nagar,1
371,Sri Kanteshwara Nagar,1
372,Srigandada Kaval,1
373,St Thomas Town,1
374,Subbannaiah Palya,1
375,Subhash Nagar,1
376,Subramanya Nagar,1
377,Subramanyanagar,1
378,Sugama Layout,1
379,Sulthangunta,1
380,Sundar Ram Shetty Nagar,1
381,Sundara Nagar,1
382,Sunkan palya,1
383,Suryanagar,1
384,T C Palya main Road,1
385,T G extension,1
386,T K Reddy Layout,1
387,T R Mill Road,1
388,T c palya,1
389,T.C. Palya,1
390,"TR Mill Road, Chamarajpet",1
391,Tharabanahalli,1
392,Thavarekere,1
393,Thirumalashettyhally,1
394,Thirupalya,1
395,Thyagraj Nagar,1
396,Tilak Nagar,1
397,Tippenahalli,1
398,Udayagiri,1
399,Uvce Layout,1
400,V.V Puram,1
401,Vasantapura main road,1
402,Vasatha Vallbha Nagar,1
403,Vayunandana Layout,1
404,Veerabhadra Nagar,1
405,Venkateshpuram,1
406,Venkateswara Nagar,1
407,Vidhyanagar Cross,1
408,Vidya Nagar,1
409,Vidyapeeta,1
410,Vijay Nagar,1
411,Vijaya Bank Colony,1
412,Vijayabank bank layout,1
413,Vijaypura,1
414,Vikram Nagar,1
415,Vinayaka Layout,1
416,Virgonagar,1
417,Virudhu Nagar,1
418,Viswajit Layout,1
419,Viswapriyanagar.begur Road.bommanahalli.,1
420,Vittal Mallya Road,1
421,Viviani Road,1
422,Wajid layout thanisandra,1
423,West of Chord Road,1
424,Wheelers Road,1
425,"Whietfield,",1
426,Whitefield ECC Road,1
427,Williams Town,1
428,Xavier Layout,1
429,Yediyur,1
430,"Yelahanka,MVIT college",1
431,"Yemlur, Old Airport Road,",1
432,Zuzuvadi,1
433,adigondanhalli,1
434,akshaya nagar t c palya,1
435,anjananager magdi road,1
436,"asha township, off hennur road",1
437,banashankari stage iii sa,1
438,basaveshwarnagar,1
439,"beml layout, basaveshwara nagar",1
440,bsk 6th stage 2ad block near sri conversation hall,1
441,elachenahalli,1
442,ittamadu,1
443,kadubisnahalli,1
444,kamanahalli main road,1
445,kanakapura main road,1
446,kanakapura road,1
447,kg halli jalhalli west,1
448,manyata,1
449,manyata tech park,1
450,mvj engineering college,1
451,near Ramanashree California resort,1
452,pavitra paradise,1
453,poornaprajna layout,1
454,"ravindra nagar, T.dasarahalli peenya",1
455,rr nagar,1
456,sankeswari,1
457,sapthagiri Layout,1
458,sarjapura main road,1
459,singapura paradise,1
460,t.c palya,1
461,vinayakanagar,1
462,"white field,kadugodi",1
463,whitefiled,1
464,1st Block BEL Layout,2
465,2nd Block Bel Layout,2
466,2nd Block Koramangala,2
467,3rd Block Koramangala,2
468,Aishwarya Crystal Layout,2
469,Akshayanagara West,2
470,Amam Enclave Layout,2
471,Amarjyothi Colony,2
472,Anand nagar,2
473,Andrahalli,2
474,Anjana Nagar,2
475,Annaiah Reddy Layout,2
476,Annapurneshwari Nagar,2
477,Anugrah Layout,2
478,Anwar Layout,2
479,Arishinakunte,2
480,Ashok Nagar,2
481,BCMC Layout,2
482,Balaji Gardens Layout,2
483,Bendiganahalli,2
484,Bettahalsoor,2
485,Bhoopsandra,2
486,Bidrahalli,2
487,Brindavan Layout,2
488,CQAL Layout,2
489,Celebrity Paradise Layout,2
490,Challaghatta,2
491,Chamundi Nagar,2
492,Chennammanakere Achukattu,2
493,Chikkakannalli,2
494,Chikku Lakshmaiah Layout,2
495,Chokkanahalli,2
496,Church Street,2
497,Classic Paradise Layout,2
498,Cleveland Town,2
499,Coconut Garden,2
500,Dena Bank Colony,2
501,Devanahalli Road,2
502,Devasandra Extension,2
503,Dodda Kempaiah Layout,2
504,Doddabidrakallu,2
505,Dollar Scheme Colony,2
506,Dr Shivarama Karantha Nagar,2
507,Dwarka Nagar,2
508,"ECC Road, Whitefield,",2
509,"Electronic city Phase 1,",2
510,Friends Colony,2
511,GD Layout,2
512,Gandhi Bazar,2
513,Ganesha Block,2
514,Garebhavipalya,2
515,Gattigere,2
516,Gaurava Nagar,2
517,Geleyara Balaga Layout,2
518,Gidada Konnenahalli,2
519,Gnana Bharathi,2
520,Govindaraja Nagar Ward,2
521,Green Domain Layout,2
522,Green Garden Layout,2
523,Green Woods Layout,2
524,Guddadahalli,2
525,Guni Agrahara,2
526,HAL 3rd Stage,2
527,Hadosiddapura,2
528,Hallehalli,2
529,Hennagara,2
530,Hoodi Layout,2
531,Hosakerehalli Layout,2
532,Hunasamaranahalli,2
533,Indra Nagar,2
534,Infantry Road,2
535,"JP Nagar 7th Phase,",2
536,"JP Nagar 8th Phase,",2
537,Jai Bheema Nagar,2
538,Janatha Colony,2
539,Jaya Mahal layout,2
540,Jayamahal Extension,2
541,Jyothi Nagar,2
542,KEB Colony,2
543,Kadarenahalli,2
544,Kariyammana Agrahara,2
545,Kathreguppe,2
546,Kempapura,2
547,Kempegowda Nagar,2
548,Koppa,2
549,Kothnoor Dinne,2
550,Krishna Nagar,2
551,Kullappa Colony,2
552,Kumbalgodu,2
553,Kyalasanahalli,2
554,Lakkasandra,2
555,Lakshmiamma Garden,2
556,Lal Bahadur Shastri Nagar,2
557,Langford Gardens,2
558,M V Extenstion,2
559,MLA Layout,2
560,Madavara,2
561,Mahaganapathy Nagar,2
562,Manjunatha Layout,2
563,Marenahalli,2
564,Mariyannapalya,2
565,Muneshwara Nagar,2
566,Muthurayya Swamy Layout,2
567,Naidu Layout,2
568,Nandi Durga Road,2
569,Nandi Hills,2
570,Nanjappa Garden,2
571,Near International Airport,2
572,Neelamangala,2
573,Omarbagh Layout,2
574,Omkar Nagar,2
575,Palace Road,2
576,Panduranga Nagar,2
577,Patelappa Layout,2
578,Phase 1 Kammasandra,2
579,Postal Colony,2
580,Pulkeshi Nagar,2
581,RMV Extension Stage 2,2
582,RR Layout,2
583,Race Course Road,2
584,Raghavendra Layout,2
585,Rajankunte,2
586,Rajarajeshwarinagar,2
587,Rajasree Layout,2
588,Ramanashree Enclave,2
589,Ramchandrapuram,2
590,Remco Bhel Layout,2
591,Rest House Road,2
592,SBM Colony,2
593,SRINIVASAPURA,2
594,Sadanand Nagar,2
595,Sampigehalli,2
596,Shanthi Layout,2
597,Shetty Halli,2
598,Shingapura,2
599,Shirdi Sai Layout,2
600,Sneha Colony,2
601,Someshwara Layout,2
602,Soundarya Layout,2
603,Sri Sai Layout,2
604,Sri Venkateshpura Layout,2
605,Srinivas Colony,2
606,St. John's Road,2
607,Subash Nagar,2
608,Sunder Ram Shetty Nagar,2
609,Suragajakkanahalli,2
610,Syndicate Bank Colony,2
611,Teachers Colony,2
612,Thomas Town,2
613,Tigalarpalya,2
614,Uday Nagar,2
615,Upadhyaya Layout,2
616,Vaderahalli,2
617,"Varthur Road,",2
618,Vasanthpura,2
619,Veer Sandra,2
620,Veersandra,2
621,Versova Layout,2
622,Vibhutipura Extension,2
623,Vibuthipura,2
624,Vijinapura,2
625,Vivek Nagar,2
626,Vyalikaval,2
627,"Whitefield,",2
628,Yarandahalli,2
629,cooketown,2
630,frazertown,2
631,manyata park,2
632,south,2
633,1st Block HBR Layout,3
634,2nd Stage Arekere Mico Layout,3
635,3rd Block Jayanagar,3
636,3rd Phase JP Nagar,3
637,5th Block Jayanagar,3
638,5th Stage BEML Layout,3
639,Adityanagar,3
640,Agrahara Dasarahalli,3
641,Alur,3
642,Anantapura,3
643,Anjappa Layout,3
644,Ankappa Layout,3
645,Arehalli,3
646,Ashwini layout,3
647,Atmananda Colony,3
648,Ayappa Nagar,3
649,B Channasandra,3
650,BHEL Layout,3
651,BTM 4th Stage,3
652,Baba Nagar,3
653,Basava Nagar,3
654,Belatur,3
655,Bethel Nagar,3
656,Bhagyalakshmi Avenue,3
657,Bhuvaneswari Nagar,3
658,Bidadi,3
659,Brindavan Nagar,3
660,Canara Bank Layout,3
661,Chikka Banaswadi,3
662,Coffee Board Layout,3
663,Crimson Layout,3
664,D Group Employees Layout,3
665,Daadys Gaarden Layout,3
666,Dasappa Layout,3
667,Devanahalli Int. Airport,3
668,Devara Jeevanahalli,3
669,Dinnur,3
670,Dollars Layout,3
671,Domlur Layout,3
672,Esther Enclave Layout,3
673,Ferrar Nagar,3
674,Gattahalli,3
675,Gkvk Layout,3
676,Gokula Extension,3
677,Govindapura,3
678,Gowdanapalya,3
679,Gulimangala,3
680,Hagadur,3
681,Hanumantha Nagar,3
682,Harappanahalli,3
683,Hegganahalli,3
684,Himagiri Meadows,3
685,Hosapalya,3
686,Ilyas Nagar,3
687,J C Nagar,3
688,Jayamahal,3
689,Jayanti Nagar,3
690,Jinkethimmanahalli,3
691,Jnana Ganga Nagar,3
692,KR Layout,3
693,KSRTC Layout,3
694,Kachanayakanahalli,3
695,Kamakya Layout,3
696,Kashi Nagar,3
697,Kaveri Nagar,3
698,Kavika Layout,3
699,Kenchenhalli,3
700,Kengeri Hobli,3
701,Kithaganur,3
702,Kodipalya,3
703,Konena Agrahara,3
704,Kothnur Narayanapura,3
705,Krishna Reddy Layout,3
706,Kumbena Agrahara,3
707,Lakshmipura,3
708,Langford Town,3
709,Lottegolla Halli,3
710,Makali,3
711,Mangammanapalya,3
712,Manorayana Palya,3
713,Marasandra,3
714,Mathikere Extension,3
715,Nandini Layout,3
716,Nanjappa Layout,3
717,Narayana Nagar 1st Block,3
718,Nobo Nagar,3
719,P&T Layout,3
720,Palanahalli,3
721,Pampa Extension,3
722,Prashanth Nagar,3
723,RMV,3
724,RPC layout,3
725,Raghavendra Nagar,3
726,Rajarajeshwari Nagara,3
727,Rajarajeshwari nagar,3
728,Ramesh Nagar,3
729,SMV layout,3
730,Sadaramangala,3
731,Sampangi Rama Nagar,3
732,Sanjeevini Nagar,3
733,Sanne Amanikere,3
734,Sarvabhouma Nagar,3
735,Sathya Layout,3
736,Seshadripuram,3
737,Shettigere,3
738,Singanayakanahalli,3
739,Singena Agrahara,3
740,Sri Balaji Krupa Layout,3
741,Srinagar,3
742,Surabhi Layout,3
743,T.C PALYA,3
744,Tasker Town,3
745,Telecom Layout,3
746,"Thanisandra Main Road,",3
747,Thippasandra,3
748,Thurahalli,3
749,Tirumanahalli,3
750,Tunganagara,3
751,Ullal Road,3
752,Ullal Uppanagar,3
753,VHBCS Layout,3
754,Vadarpalya,3
755,Veerannapalya,3
756,Venkatadri Layout,3
757,Venugopal Reddy Layout,3
758,Vimanapura,3
759,Vinayak Nagar,3
760,Virupakshapura,3
761,Vittal Nagar,3
762,Weavers Colony,3
763,Yeshwanthpur Industrial Suburb,3
764,2nd Block Jayanagar,4
765,4th Block Jayanagar,4
766,4th Phase JP Nagar,4
767,8th Block Jayanagar,4
768,AMS Layout,4
769,Alfa Garden Layout,4
770,BCC Layout,4
771,BEL Road,4
772,BSM Extension,4
773,Bagalur Main Road,4
774,Basavanagara,4
775,Basavanna Nagar,4
776,Bikasipura,4
777,Brooke Bond First Cross,4
778,Carmelaram,4
779,Chennappa Layout,4
780,Chikkasandra,4
781,Chikkathoguru,4
782,Chinnapanahalli,4
783,Divya Unnathi Layout,4
784,Doddagubbi,4
785,Dooravani Nagar,4
786,Geddalahalli,4
787,Glass Factory Layout,4
788,Hanumanth Nagar,4
789,Harsha Layout,4
790,Herohalli,4
791,Immadihalli,4
792,JCR Layout,4
793,Jnanabharathi Layout,4
794,"Judicial Layout, Kanakapura Road,",4
795,Kamala Nagar,4
796,Kammagondahalli,4
797,Kirloskar Layout,4
798,Kodathi,4
799,Konanakunte Cross,4
800,Kumarapalli,4
801,Kuvempu Nagar,4
802,Lake City,4
803,Lakshmi Layout,4
804,Lavakusha Nagar,4
805,Laxmi Sagar Layout,4
806,MCECHS  layout,4
807,Manjunath Nagar,4
808,Moodalapalya,4
809,Mylasandra,4
810,Mysore Highway,4
811,NS Palya,4
812,Ngef Layout,4
813,Nyanappana Halli,4
814,OLd Gurappanapalya,4
815,Palace Guttahalli,4
816,Poornapragna Housing Society Layout,4
817,Pragathi Nagar,4
818,Puttanahalli,4
819,RWF West Colony,4
820,Raja Rajeshwari Nagar 5th Stage,4
821,Ramamurthy Nagar Extension,4
822,Sai Gardens,4
823,Sector 6 HSR Layout,4
824,Shankarapuram,4
825,Silver Springs Layout,4
826,Suddaguntepalya,4
827,T Dasarahalli,4
828,Tala Cauvery Layout,4
829,Tata Nagar,4
830,Tavarekere,4
831,Thanisandra main road,4
832,Udaya Nagar,4
833,Udayapur Village,4
834,Upkar Layout,4
835,Vaishnavi Layout,4
836,Varsova Layout,4
837,Vinayaka Nagar,4
838,tc.palya,4
839,1st Stage Indira Nagar,5
840,3rd Block Banashankari,5
841,6th block Koramangala,5
842,7th Block Jayanagar,5
843,9th Block Jayanagar,5
844,A Narayanapura,5
845,Akshya Nagar,5
846,Amruthnagar,5
847,Attur Layout,5
848,Avalahalli,5
849,Bagalur,5
850,Belathur,5
851,Bellari Road,5
852,Byagadadhenahalli,5
853,Chikkadunnasandra,5
854,Coconut Grove Layout,5
855,Cottonpet,5
856,Devi Nagar,5
857,Dodda Banaswadi,5
858,Doddabanahalli,5
859,Doopanahalli,5
860,Govindpura,5
861,HMT Layout,5
862,Hiremath Layout,5
863,Hosahalli Extension,5
864,Jakkasandra Extension,5
865,Jakkuru Layout,5
866,KR Garden,5
867,Kada Agrahara,5
868,Kadabagere,5
869,Kadugondanahalli,5
870,Kallumantapa,5
871,Kurubarahalli,5
872,Lavelle Road,5
873,Maithri Layout,5
874,Mallathahalli,5
875,Maruthi Nagar,5
876,Munivenkatppa Layout,5
877,Nagaraja Garden,5
878,Nagashetty Halli,5
879,Nagondanahalli,5
880,New Gurappana Palya,5
881,"Off Sarjapur Road,",5
882,Pattanagere,5
883,RMV Extension,5
884,Raghuvanahalli,5
885,Ramanjaneyanagar,5
886,Shanthala Nagar,5
887,Silk Board,5
888,Srirampuram,5
889,Stage-4 Bommanahalli,5
890,Sunkadakatte,5
891,VGP Layout,5
892,Vasantha Vallabha Nagar,5
893,Virat Nagar,5
894,Vishwapriya Nagar,5
895,Abbaiah Reddy Layout,6
896,Amblipura,6
897,Anand Nagar,6
898,Ashirvad Colony,6
899,Ashwathnagar,6
900,Bagalakunte,6
901,Bhuvaneshwari Nagar,6
902,Bileshivale,6
903,Byrathi Village,6
904,Chelekare,6
905,Defence Colony,6
906,Devasthanagalu,6
907,Doddakannelli,6
908,Doddanakundi Industrial Area 2,6
909,Doddanekundi,6
910,Gopalapura,6
911,Hennur Bande,6
912,ITI Layout,6
913,Kacharakanahalli,6
914,Kumara Park,6
915,Maragondanahalli,6
916,Meenakunte,6
917,Motappa Layout,6
918,Nagawara Junction,6
919,Nayandanahalli,6
920,New Thippasandra,6
921,Rajiv Gandhi Nagar,6
922,Rustam Bagh Layout,6
923,Samethanahalli,6
924,Shantiniketan Layout,6
925,Shree Ananth Nagar Layout,6
926,Siddapura,6
927,Singapura Village,6
928,Srinivasa Nagar,6
929,Srirampura,6
930,Suraksha Nagar,6
931,Varanasi,6
932,Venkatapura,6
933,Wilson Garden,6
934,2nd Block Hrbr Layout,7
935,3rd Block Hrbr Layout,7
936,4th T block Jayanagar,7
937,8th block Koramangala,7
938,AGS Layout,7
939,Ambedkar Colony,7
940,Ashwath Nagar,7
941,Austin Town,7
942,Bank Of Baroda Colony,7
943,Basaveshwara Nagar Yelahanka,7
944,Byatarayanapura,7
945,Byrasandra,7
946,Canara Bank Colony,7
947,Channasandra Layout,7
948,Cholanayakanahalli,7
949,Devarabeesana Halli,7
950,Doctors Layout,7
951,Doddabommasandra,7
952,Doddakammanahalli,7
953,Green View Layout,7
954,HOSUR MAIN ROAD,7
955,Hennur Gardens,7
956,Hessarghatta,7
957,Hongasandra,7
958,"Hoodi Circle,",7
959,Jayanagar,7
960,Jeevan bima nagar,7
961,Keshava Nagar,7
962,Kundalahalli Colony,7
963,Madiwala,7
964,Maruthi Sevanagar,7
965,RMV 2nd Stage,7
966,Ramakrishnappa Layout,7
967,Richards Town,7
968,Tejaswini Nagar,7
969,Victoria Layout,7
970,Vijaya Bank Layout,7
971,1st Block HRBR Layout,8
972,Akshaya Vana,8
973,Akshayanagara East,8
974,Basavanapura,8
975,Byadarahalli,8
976,Cambridge Layout,8
977,Dodda Nekkundi Extension,8
978,Dollars Colony,8
979,Gopalkrishna Nagar,8
980,Hoysalanagar,8
981,Huskur,8
982,Ittamadu,8
983,Jalahalli West,8
984,Kanaka Nagar,8
985,Kattigenahalli,8
986,Kodbisanhalli,8
987,MS Pallya,8
988,Mahalakshmi Puram,8
989,Manayata Tech Park,8
990,Nallurhalli,8
991,Nelamangala,8
992,Outer Ring Road East,8
993,Reliaable Tranquil Layout,8
994,Roopena Agrahara,8
995,"Sarjapur Road,",8
996,Sathya Sai Layout,8
997,Seetharampalya,8
998,Shanti Nagar,8
999,Shikaripalya,8
1000,Sidedahalli,8
1001,Thirumenahalli,8
1002,Vajarahalli,8
1003,Vasanth nagar,8
1004,Volagerekallahalli,8
1005,2nd Phase JP Nagar,9
1006,4th Block Koramangala,9
1007,B Narayanapura,9
1008,BTM 1st Stage,9
1009,Banagiri Nagar,9
1010,Chandra Layout,9
1011,Chennammana Kere,9
